Lambda(a[i]),Average delay
0.100000,6.946
0.200000,7.413
0.300000,12.020
0.400000,30.146
0.500000,25.267
0.600000,18.951
0.700000,28.918
0.800000,36.311
0.900000,34.876
1.000000,33.111
1.100000,41.376
1.200000,39.725
1.300000,43.043
1.400000,40.853
1.500000,39.950
1.600000,43.130
1.700000,41.418
1.800000,40.117
1.900000,43.338
2.000000,44.661
2.100000,47.508
2.200000,46.281
2.300000,46.712
2.400000,46.192
2.500000,45.133
2.600000,47.096
2.700000,48.310
2.800000,48.278
2.900000,48.850
3.000000,48.899
3.100000,48.949
3.200000,48.308
3.300000,46.848
3.400000,49.450
3.500000,49.285
3.600000,50.699
3.700000,49.601
3.800000,49.089
3.900000,48.879
4.000000,49.164
4.100000,51.159
4.200000,50.853
4.300000,49.885
4.400000,49.642
4.500000,50.765
4.600000,49.617
4.700000,50.287
4.800000,49.555
4.900000,51.849
5.000000,49.950
5.100000,51.555
5.200000,50.296
5.300000,51.914
5.400000,51.410
5.500000,51.392
5.600000,50.678
5.700000,50.569
5.800000,51.833
5.900000,51.440
6.000000,51.143
6.100000,51.115
6.200000,51.698
6.300000,50.031
6.400000,51.090
6.500000,51.453
6.600000,51.359
6.700000,50.878
6.800000,50.864
6.900000,51.825
7.000000,52.059
7.100000,50.687
7.200000,52.333
7.300000,51.842
7.400000,51.428
7.500000,52.338
7.600000,51.805
7.700000,51.676
7.800000,50.895
7.900000,51.984
8.000000,52.262
8.100000,51.189
8.200000,52.230
8.300000,52.455
8.400000,51.550
8.500000,50.488
8.600000,52.118
8.700000,52.329
8.800000,52.064
8.900000,52.217
9.000000,52.216
9.100000,52.544
9.200000,52.577
9.300000,51.569
9.400000,52.812
9.500000,52.011
9.600000,52.023
9.700000,52.907
9.800000,52.499
9.900000,52.379
10.000000,52.211
