lambda,DroppedA,DroppedB,DroppedC
10,481,679,976
11,586,655,964
12,620,772,885
13,676,736,925
14,664,774,953
15,662,835,913
16,715,779,975
17,639,872,972
18,752,925,855
19,736,859,946
20,767,868,945
21,788,900,912
22,796,878,937
23,748,868,1010
24,802,899,938
25,812,809,1038
26,770,962,944
27,812,894,977
28,841,888,966
29,883,887,930
30,896,914,904
31,896,913,913
32,881,870,984
33,856,886,1002
34,893,816,1038
35,892,954,917
36,842,900,1023
37,933,891,942
38,912,897,966
39,890,954,939
40,888,888,1010
41,923,883,985
42,964,938,894
43,871,957,972
44,882,952,971
45,897,916,997
46,810,970,1034
47,904,959,960
48,840,921,1064
49,957,912,954
50,917,912,997
